rgn_id,year,value
1,2005,0.0838695662561804
1,2006,0.0399795583914965
1,2007,0.0323724066372961
1,2008,0.158025379246101
1,2009,0.15071633993648
1,2010,0.0652810858096927
1,2011,0.177270025759935
1,2012,0.0422729297541082
1,2013,0.149313743691891
1,2014,0.0251301486045122
1,2015,0.197650712309405
2,2005,0.00995496925897896
2,2006,0.00668496815487742
2,2007,0.0438910795375705
2,2008,0.13944204095751
2,2009,0.0115144085604697
2,2010,0.126785593200475
2,2011,0.0351126004010439
2,2012,0.155109818046913
2,2013,0.0648747348226607
2,2014,0.115768237272277
2,2015,0.113968271622434
3,2005,0.124849014542997
3,2006,0.0131383096333593
3,2007,0.0328217444941402
3,2008,0.1366997461766
3,2009,0.0329293140210211
3,2010,0.151246207393706
3,2011,0.0828827324323356
3,2012,0.0342980185523629
3,2013,0.0135487071238458
3,2014,0.140067580947652
3,2015,0.120388322602957
4,2005,0.0589168380945921
4,2006,0.105681948876008
4,2007,0.0347661178093404
4,2008,0.129543825797737
4,2009,0.0437901923432946
4,2010,0.112266137870029
4,2011,0.0310468575451523
4,2012,0.160741516947746
4,2013,0.0590209678281099
4,2014,0.126402887236327
4,2015,0.110264304280281
5,2005,0.0486302408389747
5,2006,0.106327925808728
5,2007,1.6277190297842e-06
5,2008,0.122638609306887
5,2009,0.0833488286938518
5,2010,0.0846651799511164
5,2011,0.0822708914522082
5,2012,0.0987065069843084
5,2013,0.0680719316471368
5,2014,0.133425093069673
5,2015,0.114355988940224
6,2005,0.0255858832970262
6,2006,0.199467002646998
6,2007,0.130892269127071
6,2008,0.04416354293935
6,2009,0.197410997655243
6,2010,0.136825170507655
6,2011,0.0351980140898377
6,2012,0.130401899060234
6,2013,0.0894853533711285
6,2014,0.18444645293057
6,2015,0.0994255563709885
7,2005,0.0883854814339429
7,2006,0.0680344364140183
7,2007,0.0247056900989264
7,2008,0.0549206417519599
7,2009,0.022411741130054
7,2010,0.190996394120157
7,2011,0.14293154515326
7,2012,0.0349463936407119
7,2013,0.0105498545337468
7,2014,0.0562153303530067
7,2015,0.0270521311089396
8,2005,0.178242339473218
8,2006,0.157580312108621
8,2007,0.177655053278431
8,2008,0.0520288657397032
8,2009,0.0608383022248745
8,2010,0.196513046370819
8,2011,0.0177575847599655
8,2012,0.142948730569333
8,2013,0.181301202392206
8,2014,0.112585700117052
8,2015,0.134703718312085
9,2005,0.151765941735357
9,2006,0.0230720461346209
9,2007,0.0450197653379291
9,2008,0.0316202743910253
9,2009,0.190304723009467
9,2010,0.159641715558246
9,2011,0.0562307559885085
9,2012,0.146786748478189
9,2013,0.184933349536732
9,2014,0.0946345590054989
9,2015,0.0959562777075917
10,2005,0.00311417998746038
10,2006,0.0194915832020342
10,2007,0.187138073612005
10,2008,0.00108466809615493
10,2009,0.199384188232943
10,2010,0.0189368078485131
10,2011,0.0832629283890128
10,2012,0.104072472313419
10,2013,0.121440326329321
10,2014,0.116098570171744
10,2015,0.1362374140881
11,2005,0.134869225742295
11,2006,0.17347441832535
11,2007,0.0679822084493935
11,2008,0.109542083693668
11,2009,0.0125173482578248
11,2010,0.0989892915822566
11,2011,0.0319491321686655
11,2012,0.0521055300720036
11,2013,0.012567386450246
11,2014,0.126471297256649
11,2015,0.147366256034002
12,2005,0.000298374844714999
12,2006,0.107309650443494
12,2007,0.0403151530772448
12,2008,0.0789449172094464
12,2009,0.0704038826283068
12,2010,0.169682696880773
12,2011,0.0631281434092671
12,2012,0.0677491362206638
12,2013,0.197973300283775
12,2014,0.143712290422991
12,2015,0.00271788411773741
14,2005,0.170704854885116
14,2006,0.106029398227111
14,2007,0.124316184874624
14,2008,0.0662029463332146
14,2009,0.0969273456837982
14,2010,0.0943264112342149
14,2011,0.0422133600339294
14,2012,0.12726512523368
14,2013,0.0151497884653509
14,2014,0.0444132294971496
14,2015,0.0670511872507632
15,2005,0.0768290474079549
15,2006,0.143393485480919
15,2007,0.0520302570890635
15,2008,0.125339312944561
15,2009,0.0855622393544763
15,2010,0.153670848300681
15,2011,0.00960343163460493
15,2012,0.189380044490099
15,2013,0.0140453252475709
15,2014,0.167918888293207
15,2015,0.102926717838272
16,2005,0.055640388885513
16,2006,0.0170635222923011
16,2007,0.101144458074123
16,2008,0.0569871395360678
16,2009,0.107395957037807
16,2010,0.0889410626608878
16,2011,0.193575971899554
16,2012,0.0261120266281068
16,2013,0.0506206296849996
16,2014,0.0195878906175494
16,2015,0.0528980867937207
17,2005,0.102815658692271
17,2006,0.0994154469110072
17,2007,0.118558890838176
17,2008,0.0885319288820028
17,2009,0.0615632929839194
17,2010,0.099118494708091
17,2011,0.00715681128203869
17,2012,0.0242511019576341
17,2013,0.0349015987012535
17,2014,0.0996567014604807
17,2015,0.120683712698519
